match_status,match_distance_m,match_confidence,google_name,google_address_full,google_street,google_suburb,google_state,google_lat,google_lng,google_address_missing,fc_id,fc_name,fc_brand,fc_brand_group,fc_address_full,fc_street,fc_suburb,fc_state,fc_postcode,fc_lat,fc_lng,fc_fuel_types,fc_num_fuel_types,fc_price_DL_cents,fc_price_E10_cents,fc_price_E85_cents,fc_price_LPG_cents,fc_price_P95_cents,fc_price_P98_cents,fc_price_PDL_cents,fc_price_U91_cents,fc_has_price_outlier
matched,0.0,high,U-Go Mount Colah,"603 Pacific Hwy, Mount Colah NSW 2079",603 Pacific Hwy,Mount Colah NSW 2079,,-33.670381,151.115192,false,17297,U-Go Mount Colah,U-Go,U-Go,"603 Pacific Hwy, Mount Colah NSW 2079",603 Pacific Hwy,Mount Colah,NSW,2079,-33.670381,151.115192,"P95,PDL,U91",3,,,,,202.9,,267.9,175.9,false
matched,0.0,high,7-Eleven Enmore,"22 Stanmore Street, Enmore NSW 2042",22 Stanmore Street,Enmore NSW 2042,,-33.898417,151.169933,false,17317,7-Eleven Enmore,7-Eleven,7-Eleven,"22 Stanmore Street, Enmore NSW 2042",22 Stanmore Street,Enmore,NSW,2042,-33.898417,151.169933,"E10,P98,U91",3,,194.9,,,,220.9,,196.9,false
matched,0.0,high,Metro Rozelle,"127 Victoria Rd, Rozelle NSW 2039",127 Victoria Rd,Rozelle NSW 2039,,-33.862044,151.167670,false,18492,Metro Rozelle,Metro Fuel,Metro,"127 Victoria Rd, Rozelle NSW 2039",127 Victoria Rd,Rozelle,NSW,2039,-33.862044,151.167670,"E10,P98,PDL,U91",4,,178.9,,,,214.9,274.9,182.9,false
matched,0.0,high,Shell Reddy Express Guildford,"295 Woodville Rd, Guildford NSW 2161",295 Woodville Rd,Guildford NSW 2161,,-33.850752,150.996951,false,55,Shell Reddy Express Guildford,Reddy Express,Shell,"295 Woodville Rd, Guildford NSW 2161",295 Woodville Rd,Guildford,NSW,2161,-33.850752,150.996951,"DL,E10,P95,P98,U91",5,273.9,188.9,,,208.4,217.9,,190.9,false
matched,0.0,high,7-Eleven Guildford West,"534 Guildford Road West (Corner Fowler Road), Guildford West NSW 2161",534 Guildford Road West (Corner Fowler Road),Guildford West NSW 2161,,-33.851431,150.972137,false,130,7-Eleven Guildford West,7-Eleven,7-Eleven,"534 Guildford Road West (Corner Fowler Road), Guildford West NSW 2161",534 Guildford Road West (Corner Fowler Road),Guildford West,NSW,2161,-33.851431,150.972137,"E10,P95,P98,PDL,U91",5,,192.9,,,209.9,219.9,289.9,194.9,false
matched,0.0,high,BP Camperdown,"Cnr Parramatta & Missenden Roads, Camperdown NSW 2050",Cnr Parramatta & Missenden Roads,Camperdown NSW 2050,,-33.886251,151.179144,false,348,BP Camperdown,BP,BP,"Cnr Parramatta & Missenden Roads, Camperdown NSW 2050",Cnr Parramatta & Missenden Roads,Camperdown,NSW,2050,-33.886251,151.179144,"P95,P98,PDL,U91",4,,,,,206.9,215.9,279.9,190.9,false
matched,0.0,high,Shell Reddy Express Merrylands,"398 Merrylands Rd (Cnr Fowler Rd), Merrylands NSW 2160",398 Merrylands Rd (Cnr Fowler Rd),Merrylands NSW 2160,,-33.834269,150.977397,false,380,Shell Reddy Express Merrylands,Reddy Express,Shell,"398 Merrylands Rd (Cnr Fowler Rd), Merrylands NSW 2160",398 Merrylands Rd (Cnr Fowler Rd),Merrylands,NSW,2160,-33.834269,150.977397,"E10,P95,P98,U91",4,,188.9,,,208.4,217.9,,190.9,false
matched,0.0,high,BP Potts Hill T/S,"155-157 Rockwood Road, Yagoona NSW 2199",155-157 Rockwood Road,Yagoona NSW 2199,,-33.893297,151.039079,false,401,BP Potts Hill T/S,BP,BP,"155-157 Rockwood Road, Yagoona NSW 2199",155-157 Rockwood Road,Yagoona,NSW,2199,-33.893297,151.039079,"DL,E10,P95,P98,PDL",5,273.9,188.9,,,206.9,215.9,276.9,,false
matched,0.0,high,Shell Reddy Express Pymble,"21 Ryde Rd, Pymble NSW 2073",21 Ryde Rd,Pymble NSW 2073,,-33.751974,151.143905,false,513,Shell Reddy Express Pymble,Reddy Express,Shell,"21 Ryde Rd, Pymble NSW 2073",21 Ryde Rd,Pymble,NSW,2073,-33.751974,151.143905,"DL,E10,P95,P98,U91",5,273.9,188.9,,,208.4,217.9,,190.9,false
matched,0.0,high,Shell Reddy Express Wahroonga,"1601 Pacific Hwy & Coonanbarra Rd, Wahroonga NSW 2076",1601 Pacific Hwy & Coonanbarra Rd,Wahroonga NSW 2076,,-33.719557,151.115880,false,602,Shell Reddy Express Wahroonga,Reddy Express,Shell,"1601 Pacific Hwy & Coonanbarra Rd, Wahroonga NSW 2076",1601 Pacific Hwy & Coonanbarra Rd,Wahroonga,NSW,2076,-33.719557,151.115880,"DL,E10,P95,P98,PDL,U91",6,273.9,188.9,,,208.4,217.9,277.9,190.9,false
matched,0.0,high,Shell Reddy Express St Ives,"179-181 Mona Vale Rd, St Ives NSW 2075",179-181 Mona Vale Rd,St Ives NSW 2075,,-33.731206,151.157571,false,613,Shell Reddy Express St Ives,Reddy Express,Shell,"179-181 Mona Vale Rd, St Ives NSW 2075",179-181 Mona Vale Rd,St Ives,NSW,2075,-33.731206,151.157571,"DL,E10,P95,P98,PDL,U91",6,273.9,188.9,,,208.4,217.9,277.9,190.9,false
matched,0.0,high,Shell Reddy Express Annandale,"124-126 Johnston Street, Annandale NSW 2038",124-126 Johnston Street,Annandale NSW 2038,,-33.880918,151.170629,false,802,Shell Reddy Express Annandale,Reddy Express,Shell,"124-126 Johnston Street, Annandale NSW 2038",124-126 Johnston Street,Annandale,NSW,2038,-33.880918,151.170629,"DL,E10,P95,P98",4,273.9,188.9,,,206.4,215.9,,,false
matched,0.0,high,Speedway Westmead,"67-69 Hawkesbury Rd, Westmead NSW 2145",67-69 Hawkesbury Rd,Westmead NSW 2145,,-33.813346,150.985710,false,1175,Speedway Westmead,Speedway,Speedway,"67-69 Hawkesbury Rd, Westmead NSW 2145",67-69 Hawkesbury Rd,Westmead,NSW,2145,-33.813346,150.985710,"DL,E10,P98,U91",4,259.5,184.5,,,,206.5,,186.5,false
matched,0.0,high,Speedway Regents Park,"27-29 Amy Steet, Regents Park NSW 2143",27-29 Amy Steet,Regents Park NSW 2143,,-33.883705,151.026875,false,1334,Speedway Regents Park,Speedway,Speedway,"27-29 Amy Steet, Regents Park NSW 2143",27-29 Amy Steet,Regents Park,NSW,2143,-33.883705,151.026875,"DL,E10,P98,U91",4,277.9,182.9,,,,209.9,,185.9,false
matched,0.0,high,Budget Erskineville,"25-33 Erskineville Road, Erskineville NSW 2043",25-33 Erskineville Road,Erskineville NSW 2043,,-33.898772,151.182321,false,1344,Budget Erskineville,Budget,Budget,"25-33 Erskineville Road, Erskineville NSW 2043",25-33 Erskineville Road,Erskineville,NSW,2043,-33.898772,151.182321,"E10,P98,PDL,U91",4,,193.9,,,,217.9,281.9,195.9,false
matched,0.0,high,BP Merrylands West,"65 Kenyons Road, Merrylands West NSW 2160",65 Kenyons Road,Merrylands West NSW 2160,,-33.836829,150.968399,false,1590,BP Merrylands West,BP,BP,"65 Kenyons Road, Merrylands West NSW 2160",65 Kenyons Road,Merrylands West,NSW,2160,-33.836829,150.968399,"E10,P95,P98,PDL",4,,192.9,,,209.9,219.9,289.9,,false
matched,0.0,high,Metro Fuel Alexandria,"36 Henderson Road, Alexandria NSW 2015",36 Henderson Road,Alexandria NSW 2015,,-33.897447,151.197261,false,1660,Metro Fuel Alexandria,Metro Fuel,Metro,"36 Henderson Road, Alexandria NSW 2015",36 Henderson Road,Alexandria,NSW,2015,-33.897447,151.197261,"E10,P98,PDL,U91",4,,187.9,,,,209.9,282.9,189.9,false
matched,0.0,high,Tanwar Petroleum,"281 New Canterbury Rd, Lewisham NSW 2049",281 New Canterbury Rd,Lewisham NSW 2049,,-33.898544,151.145666,false,1778,Tanwar Petroleum,Independent,Independent,"281 New Canterbury Rd, Lewisham NSW 2049",281 New Canterbury Rd,Lewisham,NSW,2049,-33.898544,151.145666,"DL,E10,P95,P98,U91",5,294.6,184.6,,,203.6,210.6,,187.6,false
matched,0.0,high,Speedway Villawood,"45 Fairfield St, Villawood NSW 2163",45 Fairfield St,Villawood NSW 2163,,-33.869642,150.980674,false,1828,Speedway Villawood,Speedway,Speedway,"45 Fairfield St, Villawood NSW 2163",45 Fairfield St,Villawood,NSW,2163,-33.869642,150.980674,"DL,E10,P98,PDL,U91",5,264.9,182.9,,,,204.9,269.9,184.9,false
matched,0.0,high,Caltex Chester Hill,"41 Boundary Road, Chester Hill NSW 2162",41 Boundary Road,Chester Hill NSW 2162,,-33.873839,151.007145,false,1863,Caltex Chester Hill,Caltex,Ampol,"41 Boundary Road, Chester Hill NSW 2162",41 Boundary Road,Chester Hill,NSW,2162,-33.873839,151.007145,"E10,P95,P98,PDL,U91",5,,179.5,,,207.9,217.9,268.9,186.9,false
