station_id,station_name,brand,address,lat,lng,first_seen_at,last_seen_at,snapshots_seen,days_seen_count,day_set,latest_fuel_types,fuel_types_ever,ever_had_U91,ever_had_E10,ever_had_E85,ever_had_P95,ever_had_P98,ever_had_DL,ever_had_PDL,ever_had_LPG,ever_had_EV,ever_had_B20
18616,Metro Fuel Croydon Park,Metro Fuel,"274 GEORGES RIVER RD, CROYDON PARK NSW 2133",-33.8969265,151.103217,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL,LPG","U91,E10,P98,PDL,LPG",true,true,false,false,true,false,true,true,false,false
1428,Metro Fuel Fairfield,Metro Fuel,"130 Hamilton  Road, Fairfield NSW 2165",-33.872643,150.945893,2026-04-02T19:08:37,2026-04-05T00:26:14,13,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
1407,Metro Fuel Frenchs Forest,Metro Fuel,"663 Warringah Road, Forestville NSW 2087",-33.75966,151.21908,2026-03-31T01:23:00,2026-04-05T00:26:14,16,6,"2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
1005,Metro Fuel Greystanes,Metro Fuel,"73 Ettalong Rd, Greystanes NSW 2145",-33.818292,150.95155,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
1490,Metro Fuel Homebush,Metro Fuel,"134 John Street, Lidcombe NSW 2141",-33.854822,151.046648,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
1377,Metro Fuel Hornsby,Metro Fuel,"275 Pacific Highway, Hornsby NSW 2077",-33.690987,151.099631,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
1927,Metro Fuel Wiley Park,Metro Fuel,"618 Punchbowl Rd, Wiley Park NSW 2195",-33.916526,151.066504,2026-04-02T19:08:37,2026-04-05T00:26:14,11,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,P98,PDL","U91,P98,PDL",true,false,false,false,true,false,true,false,false,false
18706,Metro Greenacre,Metro Fuel,"1 DAVID ST, GREENACRE NSW 2190",-33.8964035,151.0592723,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,P95,P98,DL,PDL","U91,P95,P98,DL,PDL",true,false,false,true,true,true,true,false,false,false
18172,Metro Guildford,Metro Fuel,"2 Rawson Road, GUILDFORD NSW 2161",-33.8636594,151.0088717,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,DL","U91,E10,P98,DL",true,true,false,false,true,true,false,false,false,false
20261,Metro Hurlstone Park,Metro Fuel,"13 CANTERBURY RD, CANTERBURY NSW 2193",-33.90781274,151.1252332,2026-04-02T19:08:37,2026-04-05T00:26:14,13,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
1089,Metro Lane Cove North,Metro Fuel,"533 MOWBRAY RD WEST, LANE COVE NORTH NSW 2066",-33.80597063,151.16627392,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,DL,PDL","U91,E10,P98,DL,PDL",true,true,false,false,true,true,true,false,false,false
20847,Metro Lansdowne,Metro Fuel,"987 HUME HWY, LANSDOWNE NSW 2163",-33.88930372,150.97102323,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P95,P98,DL,PDL","U91,E10,P95,P98,DL,PDL",true,true,false,true,true,true,true,false,false,false
20565,Metro Liverpool,Metro Fuel,64 ORANGE GROVE RD LIVERPOOL NSW 2170,-33.91229268,150.91959244,2026-04-02T19:08:37,2026-04-05T00:26:14,11,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
1239,Metro Marrickville,Metro Fuel,"103 SYDENHAM RD, MARRICKVILLE NSW 2204",-33.9101974,151.163393,2026-04-02T19:08:37,2026-04-05T00:26:14,11,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","E10,P95,PDL","E10,P95,PDL",false,true,false,true,false,false,true,false,false,false
1357,Metro Marrickville,Metro Fuel,"379 Enmore Road, Marrickville NSW 2204",-33.903912,151.168244,2026-04-02T19:08:37,2026-04-05T00:26:14,11,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","E10,P95,PDL,LPG","E10,P95,PDL,LPG",false,true,false,true,false,false,true,true,false,false
20200,Metro Mount Pritchard,Metro Fuel,"472 CABRAMATTA RD WEST, MOUNT PRITCHARD NSW 2170",-33.89703759,150.91235079,2026-04-02T19:08:37,2026-04-05T00:26:14,11,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,DL,PDL","U91,E10,P98,DL,PDL",true,true,false,false,true,true,true,false,false,false
2085,Metro Pendle Hill,Metro Fuel,"229 Wentworth Avenue, Pendle Hill NSW 2145",-33.800251,150.955916,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,PDL","U91,E10,PDL",true,true,false,false,false,false,true,false,false,false
20232,Metro Petroleum (Bankstown South),Metro Fuel,160 South Terrace Bankstown NSW 2200,-33.9184040185,151.043779961,2026-04-02T19:08:37,2026-04-05T00:26:14,11,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
20819,Metro Petroleum Addison Rd,Metro Fuel,"93-99 ADDISON RD, MARRICKVILLE NSW 2204",-33.90243062,151.1645484,2026-04-02T19:08:37,2026-04-05T00:26:14,11,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,PDL","U91,E10,PDL",true,true,false,false,false,false,true,false,false,false
2460,Metro Petroleum Belmore,Metro Fuel,"442 Punchbowl Rd, BELMORE NSW 2192",-33.907933,151.076962,2026-04-02T19:08:37,2026-04-05T00:26:14,11,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
19784,Metro Petroleum Birrong,Metro Fuel,"158 Auburn Rd, Birrong NSW 2143",-33.89747,151.02122,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL",true,true,false,true,true,false,true,false,false,false
