station_id,station_name,brand,address,lat,lng,fuel_type,days_observed,days_available,days_unavailable,days_station_missing,first_unavailable_day,last_unavailable_day,longest_unavailable_streak_days,current_unavailable_streak_days,currently_unavailable,unavailability_rate_observed,latest_truth_fuel_types,fuel_types_ever
264,7-Eleven Northmead,7-Eleven,"56 Windsor Road & Northmead Avenue, Northmead NSW 2152",-33.790961,150.997173,E10,12,10,2,0,2026-03-29,2026-03-30,2,0,false,0.1667,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
262,7-Eleven Ryde,7-Eleven,"326-328 Blaxland Road, Ryde NSW 2112",-33.802513,151.100336,PDL,12,10,2,0,2026-03-29,2026-03-30,2,0,false,0.1667,"U91,E10,P98,PDL","U91,E10,P98,PDL,LPG"
17581,Ampol Foodary Five Dock,Ampol Foodary,"Ramsay Rd & Fairlight Street, FIVE DOCK NSW 2046",-33.870023,151.130434,E10,10,8,2,2,2026-04-03,2026-04-04,2,0,false,0.2000,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
18447,Ampol Foodary Greenacre,Ampol Foodary,"87-91 ROBERTS RD, GREENACRE NSW 2190",-33.9046146,151.0648619,PDL,8,6,2,4,2026-04-13,2026-04-14,2,0,false,0.2500,"U91,P98,DL,PDL","U91,P98,DL,PDL"
17236,Ampol Foodary Guildford,Ampol Foodary,"636-644 Woodville Rd, OLD GUILDFORD NSW 2161",-33.8665036,150.9881451,PDL,11,9,2,1,2026-03-29,2026-03-30,2,0,false,0.1818,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17236,Ampol Foodary Guildford,Ampol Foodary,"636-644 Woodville Rd, OLD GUILDFORD NSW 2161",-33.8665036,150.9881451,U91,11,9,2,1,2026-03-29,2026-03-30,2,0,false,0.1818,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17269,Ampol Foodary Homebush,Ampol Foodary,"334-336 Parramatta Rd, HOMEBUSH WEST NSW 2140",-33.8581667,151.0681389,P98,10,8,2,2,2026-03-31,2026-04-01,2,0,false,0.2000,"U91,E10,P98,PDL","U91,E10,P98,PDL"
16908,Ampol Foodary Merrylands,Ampol Foodary,"150 Woodville Rd, MERRYLANDS NSW 2160",-33.838025,150.99969,E10,12,10,2,0,2026-03-29,2026-03-30,2,0,false,0.1667,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
16908,Ampol Foodary Merrylands,Ampol Foodary,"150 Woodville Rd, MERRYLANDS NSW 2160",-33.838025,150.99969,U91,12,10,2,0,2026-03-29,2026-03-30,2,0,false,0.1667,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
834,Ampol Foodary North Ryde,Ampol Foodary,"41-43 Epping Rd Cnr Wicks Rd, North Ryde NSW 2113",-33.79145,151.131185,PDL,12,10,2,0,2026-03-30,2026-03-31,2,0,false,0.1667,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
